Title,Ingredients,Loves,food_id,tipe,not include
Ayam Woku Manado,"ayam kampung ,   jeruk nipis,   garam,   kunyit,  bawang merah,  bawang putih,  cabe merah,  cabe rawit merah ,   kemiri,   sereh,   daun salam,   daun kemangi, penyedap rasa,    air,",1,1,"jeruk, bawang merah, bawang putih",11
Ayam goreng tulang lunak,"ayam ,   serai ,   daun jeruk,   bawang putih ,   ketumbar ,    laos ,    kunyit ,   kemiri ,  garam,  air ,  minyak goreng,",1,2,"jeruk, bawang putih",9
Ayam cabai kawin,"ayam,   cabai hijau besar,   cabai merah rawit,   bawang putih,   bawang merah,  gula,  garam,   tomat merah,  air,  minyak goreng,",2,3,"cabai, tomat, bawang merah, bawang putih",5
Ayam Geprek,"ayam ,  gula dan garam,   tepung ayam serbaguna,  lalapan ,  minyak panas, sambal korek,  cabe rawit merah dan bwg putih,",10,4,0,7
Minyak Ayam,"kulit ayam  lemaknya,   bawang putih kating,  cincang kasar,   jahe,  geprek,   minyak goreng,   ketumbar bubuk,",4,5,"bawang putih, jahe",5
Nasi Bakar Ayam,"piring nasi,  fillet ayam,   kotak,  cuci bersih, daun pisang yang sudah dibersihkan, liditusuk gigi untuk mengapit daun,   daun salam,  cm serai,  memarkan,   daun kemangi,  opsional,  cabe merah besar,   tipis,   kecap manis, minyak untuk menumis,   air,  halus,  cabe merah besar,  cabe kecil,   bawang merah,   bawang putih,  kemiri,  cm kunyit, ¹²  jahe,  tomat,   gula pasir,  blok kaldu ayam pake royco,  masako, merica ,",1,6,"tomat, pir, bawang merah, pisang, bawang putih, jahe",23
Ayam Saus Hintalu Jaruk,"ayam,   hintalu jaruk,   cabe merah,   cabe hijau,   tepung terigu,   merica bubuk,   bawang putih,   jeruk nipis,  minyak goreng untuk menumis dan menggoreng,  gula,  garam dan penyedap rasa,",0,7,"jeruk, bawang putih",9
Ayam saos teriyaki Lada Hitam,"ayam bagian dada dan tulang,   bawang bombay,   bawang daun,   bawang putih,   cabe merah besar,   cabe ijo besar,   ,  air, mentega untuk menumis,   saos teriyaki ,   gula pasir,   royco ayam, larutan meizena,",0,8,"bawang bombay, bawang putih",11
Steak ayam,"dada ayam fillet,   air jeruk nipis,  garam, adonan basah,   terigu,   maizena,   merica, garam,  air, adonan kering,   terigu,   maizena,   merica bubuk,   kaldu jamur,  garam,  minyak goreng,  saus jamur,   jamur tiram blender,  bawang putih cincang halus,   keju parut,   maizena cairkan dgn air,   saus tiram,   kecap manis,   merica halus,  garam  kaldu jamur, air,  pelengkap, buncis dan wortel di kukus,",6,9,"jeruk, dada ayam, wortel, bawang putih",24
Ayam Saos Asam Manis Simple,"ayam bagian dada fillet ,  air jeruk nipis utk baluran,   tepung  ayam instan uk besar  campur sedikit tepung terigu,   bputih ,   bmerah ,   bbombay ,   tomat uk besar ,   saos sambal,   saos tiram,  gula  garam,  merica bubuk,",6,10,"jeruk, tomat",9
Mie Ayam Homemade by suami😂😂😂," mie ayam ,   tepung terigu proteiin tinggi,   telur,  sendok minyak goreng, air, secukupnyaa garam, air untuk merebus mie ,  air, minyak goreng,  halus kuah ayam untuk mie ayam ,  dada ayam,   bawang merah,   bawang putih,   kemiri,  lada,  ketumbar, jahe, lengkuas,   sereh,   daun jeruk,   daun salam, kecap, gula merah, minyak untuk menumis,  pelengkap , daun bawang, sawi hijau, bawang goreng,  sambal ,   cabai rawit merah, garam, air untuk merebus,",0,11,"lengkuas, telur, cabai, jeruk, dada ayam, daun bawang, bawang merah, bawang putih, jahe",23
Ayam Bakar Pedas Manis Resep :Nila Sari,"ayam broiler ukuran jumbo,  ,   bawang merah,   cabe ,   jahe,   kunyit,  lada bubuk,  ketumbar,   daun jeruk,   daun salam,   serai,   bawah putih,  kecap,  gula merah,  minyak goreng,  royco,  garam,   santan kara,",8,12,"jeruk, bawang merah, jahe",15
Semur Ayam Kentang Ala Mama Kirana,"ayam, kentang,  halus , bawang putih  bisa di sesuaikan sesuaikan, bawang merah, merica, kemiri, sedikit biji pala, cabai merah kriting,  bila suka pedas, sedikit jahe, rempah, daun salam, lengkuas, sereh, kapulaga, kulit manis, irisan bawang bombay, irisan tomat, garam, kecap manis, sedikit penyedap rasa, jeruk nipis untuk ayam,",2,13,"lengkuas, cabai, jeruk, kentang, tomat, bawang bombay, bawang merah, bawang putih, jahe",14
Ayam suwir,"ayam suwir ,   bawang merah,   bawang putih,   tomat,   merica,   terasi,   cabe rawit,   cabe kriting,  gula,  garam,  air,  penyedap rasa ,   daun salam,   lengkuas geprek,",0,14,"lengkuas, tomat, bawang merah, bawang putih",10
Ayam goreng tepung,"fillet ayam,   tepung  serbaguna,   telur ayam , garam sck, minya goreng  untuk menggoreng,",1,15,telur,4
Tulang Ayam Pedas Manis,"tulang ayam bersihkan lalu ,   cabe merah keriting,   cabe rawit ,   bawang merah,   bawang putih,   kunyit,   daun salam,   daun jeruk,   sereh geprek,   jahe geprek,  btr jeruk nipis,  kaldu bubuk,  gula pasir,  kecap manis,   air untuk merebus tulang, minyak untuk menumis,",3,16,"jeruk, bawang merah, bawang putih, jahe",11
Ayam penyet rumahan,"ekr ayam negri cuci bersih ptng beri air jeruk nipis cuci lagi,   jeruk nipis,  ayam goreng jd, yg bsah bisa beli di pasar, aku beli rb,  lmbr daun salam,  lmbr daun jeruk,  btng sere geprek, garam  dan penyedap,  minyak goreng, sambel penyet,   cabe rawit merah,   cabe merah,   bawang p kating,   bawang merah goreng sebentr, penyedap dan sedikit gula,",3,17,"jeruk, bawang merah",12
Sop ayam,"ayam  kecil kecil,   ceker ayam bersihkan,   kentang ,   wortel ,  mangkok makaroni ,   daun bawang ,   daun seledri ,  dihaluskan ,   bawang merah,   bawang putih, tambahan ,  sendok teh lada halus,  garam, penyedap rasa ,",3,18,"kentang, ceker ayam, daun bawang, bawang merah, wortel, bawang putih",8
Ayam suwir,"grm dada ayam,   daun jeruk,   bawang putih,   bawang merah,  cm jahe,  cm kunyit,  garam dan gula, minyak untuk menumis,",0,19,"jeruk, dada ayam, bawang merah, bawang putih, jahe",3
Nugget Ayam Home Made,"ayam d fillet ambil dagingnya aja,   wortel,   daun bawang prei,   bawang putih,   bawang merah,   merica,   tepung tapioka,  telur ayam, garam,  penyedap rasa, tepung roti tepung panir,",6,20,"telur, daun bawang, bawang merah, wortel, bawang putih",6
Ayam Koloke,"ayam fillet,  ,   tepung  serbaguna , pelapis,   tepung terigu,   maizena,  saus,   butter  margarin,   bawang putih,  cincang halus,   bawang bombai uk kecil ,   wortel ,   timun ,   daun bawang ,   cabe merah ,   cabe rawit ,   saus tomat,   saus tiram,   minyak wijen,   air lemon  jeruk nipis  cuka masak,   air, garam,  lada,  gula,   maizena ,",3,21,"jeruk, tomat, daun bawang, wortel, bawang putih, lemon",20
Mie tulang ayam,"tulang ayam,   kecil mie burung dara,   bawang putih,   bawang merah,  cabe rawit,  tangkai daun bawang,  tangkai seledri,    merica bubuk,   saos cabe,   kecap manis,  gula dan garam, minyak untuk menumis,",1,22,"daun bawang, bawang merah, bawang putih",9
Ayam Suir Bali (bemesere bali),"dada ayam ,   minyak goreng,  ,   cabai merah,   tomat,   cabe rawit,  garam,  gula jawa,   terasi bakar,  perasan jeruk limo,   daun jeruk purut,",0,23,"cabai, jeruk, dada ayam, tomat",6
Pindang ayam jadul,"ayam,  btr bawang merah  halus,   cabe rawit  halus,  cm jahe  halus,  cm lengkuas  halus,   kunyit halus,   asam jawa,   terasi bangka panggang,   tomat  ,  daun kemangi ,",0,24,"lengkuas, tomat, bawang merah, jahe",6
Ayam Kacang Panjang Saos Hoisin," ,   paha atasdada ayam,   kecap asin,  arak beras,  tapioka,  saos,   kacang panjang,   baput cincang halus,  cm jahe cincang halus,   saos hoisin,   kecap asin,   micin,   air, larutan tapioka,",2,25,"dada ayam, jahe",12
Tongseng ayam,"g  ayam ,  cc santan dr  kelapa ,   daun jeruk,   daun salam,   lengkuas ,   serai ,   cabe rawit hijau,   daun bawang ,   tomat ,   kecap manis,   kentang ukuran sedang ,  kol ,  garam, kaldu bubuk,  gula pasir , bawang goreng untuk taburan,  minyak untuk menumis,  halus ,   bawang merah,   bawang putih,   jahe,   kunyit,   ketumbar,   merica,   kemiri sangrai,   cabai merah besar,",1,26,"lengkuas, cabai, jeruk, kentang, tomat, daun bawang, kol, bawang merah, bawang putih, jahe, kelapa",15
Ayam penyet sambel kemangi,"dada ayam,   daun kemangi,   timun uk sedang,    racik tempe,  sambel,   cabe merah,   cabe rawit,   bamer,   baput, gula, garam,   tomat merah,  terasi,  minyak utk menggoreng, air utk mengungkep ayam,",0,27,"tempe, dada ayam, tomat",12
Nugget Ayam Wortel,"ayam giling,   wortel ukuran sedang,   bawang bombay,   bawang putih,   daun bawang,   telur ayam,   tepung terigu ,  tepung roti,  garam,  lada,  penyedap rasa ayam, minyak goreng,",4,28,"telur, bawang bombay, daun bawang, wortel, bawang putih",7
Ayam goreng pedas gila ala Kfc,"ayam,   tepung  uk g yg pedas ,  air es, minyak goreng,",2,29,0,4
Chicken Teriyaki,"ayam  memanjang,   bawang bombay,   memanjang,   gula,   garan,   air, minyak untuk menumis,  perendam ,   saus teriyaki,   saus tiram,   kecap manis,   minyak wijen,   bawang putih,  haluskan,  cm jahe,  haluskan,   merica,   kaldu bubuk,",1,30,"bawang bombay, bawang putih, jahe",15
